datetime,Mean_temp (K) 16,Mean_temp (K) 17
4/10/2019 15:40,240.9784373,239.1158377
4/10/2019 15:50,240.9867996,239.3107541
4/10/2019 16:00,241.0024735,239.5156288
4/10/2019 16:10,241.0151669,239.6304113
4/10/2019 16:20,241.0271559,239.7639871
4/10/2019 16:30,241.0469317,239.8816768
4/10/2019 16:40,241.0650897,240.0299166
4/10/2019 16:50,241.0819961,240.2919559
4/10/2019 17:00,241.0807658,240.5547368
4/10/2019 17:10,241.0993934,240.7687181
4/10/2019 17:20,241.1183321,240.89504
4/10/2019 17:30,241.1363939,240.9739834
4/10/2019 17:40,241.1566704,241.0368921
4/10/2019 17:50,241.1789472,241.0791888
4/10/2019 18:00,241.2039365,241.1058824
4/10/2019 18:10,241.220538,241.1363885
4/10/2019 18:20,241.2522016,241.1636885
4/10/2019 18:30,241.2778,241.2035282
4/10/2019 18:40,241.3033699,241.2389049
4/10/2019 18:50,241.3314213,241.2552871
4/10/2019 19:00,241.3553223,241.3283108
4/10/2019 19:10,241.3873264,241.3638798
4/10/2019 19:20,241.4184331,241.3943971
4/10/2019 19:30,241.4482436,241.4263877
4/10/2019 19:40,241.4787034,241.4589454
4/10/2019 19:50,241.5156312,241.4989649
4/10/2019 20:00,241.5516793,241.5345987
4/10/2019 20:10,241.5888224,241.5711351
4/10/2019 20:20,241.6292749,241.611431
4/10/2019 20:30,241.6723241,241.6540686
4/10/2019 20:40,241.7121212,241.6976275
4/10/2019 20:50,241.7568058,241.7382162
4/10/2019 21:00,241.7973672,241.7684071
4/10/2019 21:10,241.8384248,241.6957759
4/10/2019 21:20,241.8709846,241.7348958
4/10/2019 21:30,241.916151,241.7749085
4/10/2019 21:40,241.9559325,241.8182132
4/10/2019 21:50,241.9969897,241.8635815
4/10/2019 22:00,242.0408429,241.90549
4/10/2019 22:10,242.0862368,241.9542482
4/10/2019 22:20,242.1298433,241.9991354
4/10/2019 22:30,242.1739907,242.0458852
4/10/2019 22:40,242.220357,242.1060712
4/10/2019 22:50,242.2660441,242.1319426
4/10/2019 23:00,242.3115085,242.1815738
4/10/2019 23:10,242.354157,242.222962
4/10/2019 23:20,242.3892465,242.2740402
4/10/2019 23:30,242.4404867,242.3218282
4/10/2019 23:40,242.4876824,242.3583954
4/10/2019 23:50,242.5338086,242.4139618
4/11/2019 0:00,242.5770508,242.4494558
4/11/2019 0:10,242.6184227,242.4932663
4/11/2019 0:20,242.6579128,242.5384336
4/11/2019 0:30,242.6958148,242.5773976
4/11/2019 0:40,242.7376129,242.62823
4/11/2019 0:50,242.777244,242.6626117
4/11/2019 1:00,242.8204358,242.7094248
4/11/2019 1:10,242.8551869,242.7447706
4/11/2019 1:20,242.8945412,242.8028408
4/11/2019 1:30,242.9288263,242.8185752
4/11/2019 1:40,242.9599924,242.854142
4/11/2019 1:50,242.9980782,242.8850586
4/11/2019 2:00,243.0244246,242.9223633
4/11/2019 2:10,243.0517672,242.9532557
4/11/2019 2:20,243.0812293,242.9886932
4/11/2019 2:30,243.1044014,243.0149137
4/11/2019 2:40,243.1366175,243.0529313
4/11/2019 2:50,243.1613778,243.087425
4/11/2019 3:00,243.1900752,243.1180372
4/11/2019 3:10,243.2253136,243.1485739
4/11/2019 3:20,243.253213,243.1781558
4/11/2019 3:30,243.2836839,243.2101349
4/11/2019 3:40,243.3172265,243.2450557
4/11/2019 3:50,243.3574145,243.28525
4/11/2019 4:00,243.3931393,243.3155071
4/11/2019 4:10,243.4258697,243.3630052
4/11/2019 4:20,243.4715391,243.3953915
4/11/2019 4:30,243.5060235,243.4283685
4/11/2019 4:40,243.535322,243.4605396
4/11/2019 4:50,243.5516381,243.4989977
4/11/2019 5:00,243.6536423,243.5306796
4/11/2019 5:10,243.6873447,243.5673945
4/11/2019 5:20,243.6819741,243.5845226
4/11/2019 5:30,243.6948255,243.6066233
4/11/2019 5:40,243.7227221,243.6284153
4/11/2019 5:50,243.7423418,243.6430989
4/11/2019 6:00,243.7616627,243.6502296
4/11/2019 6:10,243.7871496,243.6603021
4/11/2019 6:20,243.8044024,243.6737759
4/11/2019 6:30,243.8213514,243.6808164
4/11/2019 6:40,243.8381505,243.697435
4/11/2019 6:50,243.8537708,243.7154771
4/11/2019 7:00,243.8695351,243.7266671
4/11/2019 7:10,243.8768377,243.7511141
4/11/2019 7:20,243.8962557,243.7657677
4/11/2019 7:30,243.9146118,243.7870523
4/11/2019 7:40,243.9351506,243.8020371
4/11/2019 7:50,243.9558224,243.8205986
4/11/2019 8:00,243.978677,243.8485952
4/11/2019 8:10,244.0017435,243.8718463
4/11/2019 8:20,244.0193899,243.8892667
4/11/2019 8:30,244.0411217,243.9100031
4/11/2019 8:40,244.0565616,243.9242578
4/11/2019 8:50,244.0821336,243.9425473
4/11/2019 9:00,244.0943853,243.936647
4/11/2019 9:10,244.1126849,244.0398113
4/11/2019 9:20,244.1337753,244.0688519
4/11/2019 9:30,244.1451625,244.0734255
4/11/2019 9:40,244.1637659,244.0829372
4/11/2019 9:50,244.1819992,244.1022469
4/11/2019 10:00,244.1976331,244.1849282
4/11/2019 10:10,244.2130837,244.6373814
4/11/2019 10:20,244.2161419,244.9655434
4/11/2019 10:30,244.2300512,245.4641352
4/11/2019 10:40,244.2471815,245.8544224
4/11/2019 10:50,244.2705088,246.2866359
4/11/2019 11:00,244.2793702,247.0657687
4/11/2019 11:10,244.298278,247.8386827
4/11/2019 11:20,244.3186599,248.6400183
4/11/2019 11:30,244.3387759,249.3867625
4/11/2019 11:40,244.3544386,268.4727485
4/11/2019 11:50,244.370901,228.229776
4/11/2019 12:00,244.3892283,229.4870319
4/11/2019 12:10,244.4060097,207.5570679
4/11/2019 12:20,244.4240227,205.7316062
4/11/2019 12:30,244.4452522,205.8172155
4/11/2019 12:40,244.4632171,206.4237962
4/11/2019 12:50,244.4812523,206.3451919
4/11/2019 13:00,244.4955097,206.0054528
4/11/2019 13:10,244.5149964,205.8690223
4/11/2019 13:20,244.5332267,205.4931705
4/11/2019 13:30,244.5523023,205.599736
4/11/2019 13:40,244.5701272,206.9967691
4/11/2019 13:50,244.5873779,205.8878091
4/11/2019 14:00,244.6082009,207.9105881
4/11/2019 14:10,244.6263968,206.0153859
4/11/2019 14:20,244.6405086,217.0271749
4/11/2019 14:30,244.6688801,221.4317907
4/11/2019 14:40,244.6916465,227.7735696
4/11/2019 14:50,244.713249,214.7719724
4/11/2019 15:00,244.7315492,236.4344912
4/11/2019 15:10,244.7519075,241.0260985
4/11/2019 15:20,244.7637701,242.1506556
4/11/2019 15:30,244.7834762,242.2864073
4/11/2019 15:40,244.7980159,242.5165823
4/11/2019 15:50,244.8119936,242.6810564
4/11/2019 16:00,244.8294727,242.9604768
4/11/2019 16:10,244.8436894,243.1691607
4/11/2019 16:20,244.8573396,243.3554667
4/11/2019 16:30,244.8709246,243.5781786
4/11/2019 16:40,244.8823535,243.6899501
4/11/2019 16:50,244.8945992,243.8276682
4/11/2019 17:00,244.8880998,244.0098652
4/11/2019 17:10,244.8966261,244.3085971
4/11/2019 17:20,244.9013373,244.5212101
4/11/2019 17:30,244.9088029,244.6869895
4/11/2019 17:40,244.915196,244.7703073
4/11/2019 17:50,244.9167717,244.8192343
4/11/2019 18:00,244.9198818,244.8533629
4/11/2019 18:10,244.9235523,244.8591262
4/11/2019 18:20,244.9285481,244.8862568
4/11/2019 18:30,244.9238575,244.8924785
4/11/2019 18:40,244.9302047,244.9040217
4/11/2019 18:50,244.9314761,244.899051
4/11/2019 19:00,244.931654,244.9440985
4/11/2019 19:10,244.928474,244.9419018
4/11/2019 19:20,244.9277983,244.9428771
4/11/2019 19:30,244.9246811,244.9417299
4/11/2019 19:40,244.9221687,244.9416854
4/11/2019 19:50,244.9141477,244.9308507
4/11/2019 20:00,244.9101294,244.9332122
4/11/2019 20:10,244.9019914,244.9151626
4/11/2019 20:20,244.8964811,244.9083542
4/11/2019 20:30,244.885716,244.9013321
4/11/2019 20:40,244.8741434,244.8870167
4/11/2019 20:50,244.8600866,244.8743479
4/11/2019 21:00,244.8442355,244.8612169
4/11/2019 21:10,244.8259717,244.7287576
4/11/2019 21:20,244.8089227,244.7170268
4/11/2019 21:30,244.7948439,244.7019545
4/11/2019 21:40,244.7786937,244.6875198
4/11/2019 21:50,244.7661375,244.6706505
4/11/2019 22:00,244.7524219,244.6581499
4/11/2019 22:10,244.7339894,244.6418854
4/11/2019 22:20,244.7232821,244.6477675
4/11/2019 22:30,244.7085202,244.6160871
4/11/2019 22:40,244.7055257,244.6099131
4/11/2019 22:50,244.691201,244.5971212
4/11/2019 23:00,244.6898734,244.5921746
4/11/2019 23:10,244.6822464,244.5813082
4/11/2019 23:20,244.6707597,244.5668934
4/11/2019 23:30,244.6591329,244.5595921
4/11/2019 23:40,244.6479862,244.5440017
4/11/2019 23:50,244.6355532,244.5316127
4/12/2019 0:00,244.6243311,244.5213816
4/12/2019 0:10,244.6159155,244.5149705
4/12/2019 0:20,244.6034953,244.5030542
4/12/2019 0:30,244.5968064,244.4987564
4/12/2019 0:40,244.5875937,244.492291
4/12/2019 0:50,244.5732953,244.4772776
4/12/2019 1:00,244.5665692,244.4714422
4/12/2019 1:10,244.5506252,244.4558088
4/12/2019 1:20,244.5329474,244.4489393
4/12/2019 1:30,244.521055,244.4272876
4/12/2019 1:40,244.5133861,244.4173869
4/12/2019 1:50,244.5080824,244.4208294
4/12/2019 2:00,244.4983588,244.41973
4/12/2019 2:10,244.4853854,244.4090319
4/12/2019 2:20,244.4796852,244.4092517
4/12/2019 2:30,244.4689536,244.4080691
4/12/2019 2:40,244.4690203,244.4080113
4/12/2019 2:50,244.465044,244.406424
4/12/2019 3:00,244.4606771,244.410495
4/12/2019 3:10,244.4641886,244.4095264
4/12/2019 3:20,244.4614571,244.4066408
4/12/2019 3:30,244.461431,244.4066061
4/12/2019 3:40,244.4625038,244.4129299
4/12/2019 3:50,244.4711291,244.4091129
4/12/2019 4:00,244.4710826,244.4108796
4/12/2019 4:10,244.4707258,244.4173638
4/12/2019 4:20,244.4758666,244.413063
4/12/2019 4:30,244.4788176,244.4201987
4/12/2019 4:40,244.4914269,244.4297649
4/12/2019 4:50,244.4782662,244.4251202
4/12/2019 5:00,244.5361245,244.4336552
4/12/2019 5:10,244.5229392,244.437908
4/12/2019 5:20,244.5109303,244.4364401
